Price,Area,Location,Bedrooms,Resale,Gymnasium,Lift,Parking,Maintenance,Security,Children's Play Area,Clubhouse,Intercom,Landscaped Gardens,Indoor Games,Gas_Conn,Jogging Track,Swimming Pool
237400,634,Ambernath West,1,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,Yes,No,No,No,No
237500,525,Kalyan East,1,No,Yes,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes
237800,575,Titwala,1,Yes,No,Yes,No,No,No,Yes,No,Yes,No,No,No,No,No
239000,620,Nalasopara West,1,No,No,Yes,No,No,No,Yes,No,No,No,No,No,No,No
239400,640,Titwala,1,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No
239400,640,Titwala,1,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,Yes,No
239900,620,Badlapur West,1,Yes,No,Yes,Yes,No,Yes,No,No,No,No,No,Yes,No,No
239900,700,Badlapur East,1,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
240000,690,Ambernath West,1,Yes,No,Yes,Yes,No,Yes,No,No,No,Yes,No,Yes,No,Yes
240000,625,Dronagiri,1,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,Yes,No,Yes,Yes,No
240000,560,KASHELI,1,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,No
240000,565,Naigaon East,1,Yes,Yes,Yes,Yes,No,Yes,No,No,Yes,Yes,No,No,Yes,No
240000,565,Naigaon East,1,Yes,No,Yes,Yes,No,Yes,No,No,Yes,Yes,No,No,Yes,No
240000,480,Badlapur,1,No,No,Yes,Yes,Yes,No,No,No,No,Yes,No,No,No,No
240000,490,Taloja,1,Yes,No,Yes,Yes,Yes,Yes,No,No,Yes,No,No,No,No,No
240000,350,Dombivli (West),1,Yes,Yes,Yes,No,No,No,Yes,Yes,Yes,No,No,No,No,No
240000,585,Nala Sopara,1,No,Yes,Yes,Yes,No,Yes,Yes,Yes,No,Yes,Yes,No,Yes,Yes
240000,700,Badlapur West,1,Yes,Yes,No,No,No,No,Yes,Yes,No,Yes,No,No,Yes,No
240000,550,Nala Sopara,1,No,Yes,Yes,Yes,No,Yes,Yes,Yes,No,Yes,Yes,No,Yes,Yes
240000,570,Boisar,1,No,No,No,No,No,No,No,No,No,No,No,No,No,No
240000,930,Boisar,2,No,No,No,No,No,No,No,No,No,No,No,No,No,No
240000,485,Nala Sopara,1,No,Yes,Yes,Yes,No,Yes,Yes,No,No,Yes,No,No,Yes,No
240000,930,Boisar,2,No,Yes,Yes,No,No,No,Yes,Yes,No,Yes,No,No,Yes,No
240000,714,Boisar,2,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes
240000,450,Nala Sopara,1,No,No,Yes,No,No,No,Yes,No,No,No,No,No,No,No
240000,535,Nala Sopara,1,No,No,Yes,No,No,No,Yes,No,No,No,No,No,No,No
240000,585,Nala Sopara,1,No,No,Yes,Yes,Yes,No,Yes,No,Yes,Yes,No,No,No,No
240000,540,Naigaon East,1,No,No,Yes,No,No,No,Yes,No,No,No,No,No,Yes,No
240000,425,Vangani,1,No,No,Yes,Yes,No,Yes,Yes,No,No,Yes,No,No,No,No
240000,590,Virar West,1,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No
240000,580,Nala Sopara,1,Yes,No,Yes,No,No,No,Yes,No,No,No,No,No,No,No
240000,600,Nalasopara West,1,No,No,Yes,No,No,No,Yes,No,Yes,No,No,No,No,No
240000,594,Nala Sopara,1,Yes,No,Yes,Yes,Yes,No,Yes,No,Yes,Yes,No,No,No,No
240000,500,Nalasopara West,1,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No
